"masterInstrumentSettingsID","masterSchedule_ID","settingsBeforeInjection","settingsAfterInjection"
1,1,1,2
2,2,3,4
3,3,5,6
4,4,7,8
5,5,9,10
6,6,11,12
7,7,13,14
8,8,15,16
9,9,17,18
10,10,19,20
11,11,21,22
12,12,23,24
13,13,25,26
14,14,27,28
15,15,29,30
16,16,31,32
17,17,33,34
18,18,35,36
19,19,37,38
20,20,39,40
21,21,41,42
22,22,43,44
23,23,45,46
24,24,47,48
25,25,49,50
26,26,51,52
27,27,53,54
28,28,55,56
29,29,57,58
30,30,59,60
31,31,61,62
32,32,63,64
33,33,65,66
34,34,67,68
35,35,69,70
36,36,71,72
37,37,73,74
38,38,75,76
39,39,77,78
40,40,79,80
41,41,81,82
42,42,83,84
43,43,85,86
44,44,87,88
45,45,89,90
46,46,91,92
47,47,93,94
48,48,95,96
49,49,97,98
50,50,99,100
51,51,101,102
52,52,103,104
53,53,105,106
54,54,107,108
55,55,109,110
56,56,111,112
57,57,113,114
58,58,115,116
59,59,117,118
60,60,119,120
61,61,121,122
62,62,123,124
63,63,125,126
64,64,127,128
65,65,129,130
66,66,131,132
67,67,133,134
68,68,135,136
69,69,137,138
70,70,139,140
71,71,141,142
72,72,143,144
73,73,145,146
74,74,147,148
75,75,149,150
76,76,151,152
77,77,153,154
78,78,155,156
79,79,157,158
80,80,159,160
81,81,161,162
82,82,163,164
83,83,165,166
84,84,167,168
85,85,169,170
86,86,171,172
87,87,173,174
88,88,175,176
89,89,177,178
90,90,179,180
91,91,181,182
92,92,183,184
93,93,185,186
94,94,187,188
95,95,189,190
96,96,191,192
97,97,193,194
98,98,195,196
99,99,197,198
100,100,199,200
101,101,201,202
102,102,203,204
103,103,205,206
104,104,207,208
105,105,209,210
106,106,211,212
107,107,213,214
108,108,215,216
109,109,217,218
110,110,219,220
111,111,221,222
112,112,223,224
113,113,225,226
114,114,227,228
115,115,229,230
116,116,231,232
117,117,233,234
118,118,235,236
119,119,237,238
120,120,239,240
121,121,241,242
122,122,243,244
123,123,245,246
124,124,247,248
125,125,249,250
126,126,251,252
127,127,253,254
128,128,255,256
129,129,257,258
130,130,259,260
131,131,261,262
132,132,263,264
133,133,265,266
134,134,267,268
135,135,269,270
136,136,271,272
137,137,273,274
138,138,275,276
139,139,277,278
140,140,279,280
141,141,281,282
142,142,283,284
143,143,285,286
144,144,287,288
145,145,289,290
146,146,291,292
147,147,293,294
148,148,295,296
149,149,297,298
150,150,299,300
151,151,301,302
152,152,303,304
153,153,305,306
154,154,307,308
155,155,309,310
156,156,311,312
157,157,313,314
158,158,315,316
159,159,317,318
160,160,319,320
