n/nm	Solvent Name	Unit	En. (Stz Max)	En. (Stz Com)	En. (Pol Max)	En. (Pol Com)	Interpolated Retention Volume (Max)	Interpolated Retention Volume (Com)	Column Temperature [Kelvin]
0.005	NONANE	dG (kJ/Mol)					-55.8705151186484	5394.77279708282	323.149411900838
0.005	OCTANE	dG (kJ/Mol)					545.156686353252	423.307961170847	323.150617822011
0.005	HEPTANE	dG (kJ/Mol)					117.998820275738	270.221689714075	323.149397913615
0.005	HEXANE	dG (kJ/Mol)					25.3137691643188	44.5295628479373	323.152058029175
0.005	DICHLOROMETHANE	dG (kJ/Mol)	-19.3961750812996	4.84700857099338	-19.3119446696981	5.18528059050437	-0.414255993054287	3.98044387663303	323.152344608307
0.005	ETHYL ACETATE	dG (kJ/Mol)	-9.07541069422413	9.64862539356953	-7.80869436597104	7.76047948779292	25.8292190880328	67.3351052187957	323.148828887939
0.0075	NONANE	dG (kJ/Mol)					1831.07980632377	4975.38693135135	323.149411900838
0.0075	OCTANE	dG (kJ/Mol)					511.297940443091	1101.32459419963	323.150617822011
0.0075	HEPTANE	dG (kJ/Mol)					111.351173214702	253.758931479395	323.149397913615
0.0075	HEXANE	dG (kJ/Mol)					25.2824883778823	42.7172979761019	323.152058029175
0.0075	DICHLOROMETHANE	dG (kJ/Mol)	1.21247428614564	5.64717376970452	1.66265194177791	6.12015055012203	0.736206871421603	4.60149231018194	323.152344608307
0.0075	ETHYL ACETATE	dG (kJ/Mol)	7.85994421155265	9.54761220588216	6.13496542964773	7.64133475688734	23.7688529400001	58.8620695889158	323.148828887939
0.01	NONANE	dG (kJ/Mol)					2186.67118845965	4613.11778549375	323.149411900838
0.01	OCTANE	dG (kJ/Mol)					472.905130022043	1116.25296165895	323.150617822011
0.01	HEPTANE	dG (kJ/Mol)					105.969704734339	235.79508755954	323.149397913615
0.01	HEXANE	dG (kJ/Mol)					25.2512075914459	40.9050331042666	323.152058029175
0.01	DICHLOROMETHANE	dG (kJ/Mol)	4.30748171891557	6.08583186552289	4.76142864569416	6.56820715071359	1.8866697358975	5.22254074373085	323.152344608307
0.01	ETHYL ACETATE	dG (kJ/Mol)	8.07613207307881	9.28810575261814	6.27999240616448	7.39121893176675	21.6300279835758	51.4518717283645	323.148828887939
0.02	NONANE	dG (kJ/Mol)					1185.08924537083	3465.14329875121	323.149411900838
0.02	OCTANE	dG (kJ/Mol)					312.586467790472	916.886764209754	323.150617822011
0.02	HEPTANE	dG (kJ/Mol)					77.3439348233878	200.11969224627	323.149397913615
0.02	HEXANE	dG (kJ/Mol)					24.547772559219	37.2706447684645	323.152058029175
0.02	DICHLOROMETHANE	dG (kJ/Mol)	4.17925404743174	4.54009303705134	4.5844228733984	5.00691963280008	2.84284846101403	3.18135322711957	323.152344608307
0.02	ETHYL ACETATE	dG (kJ/Mol)	6.66109062092331	8.52870735322608	5.09506185594491	6.70833820371892	17.7363391603743	40.2372895169163	323.148828887939
0.03	NONANE	dG (kJ/Mol)					469.848285028906	1999.0547902117	323.149411900838
0.03	OCTANE	dG (kJ/Mol)					186.964739432123	759.887560628352	323.150617822011
0.03	HEPTANE	dG (kJ/Mol)					55.6888811455025	169.102460074789	323.149397913615
0.03	HEXANE	dG (kJ/Mol)					22.8643851750101	35.2914960583789	323.152058029175
0.03	DICHLOROMETHANE	dG (kJ/Mol)	2.28605985748372	3.83467472748625	2.61830382874188	4.27190832563144	2.90777760717601	3.70269950453086	323.152344608307
0.03	ETHYL ACETATE	dG (kJ/Mol)	5.07322565124949	6.96136870244437	3.84811221369546	5.33659796150594	16.7719785704118	30.5633448663685	323.148828887939
0.04	NONANE	dG (kJ/Mol)					284.931549131057	1130.29448138925	323.149411900838
0.04	OCTANE	dG (kJ/Mol)					127.956977743718	632.039833418642	323.150617822011
0.04	HEPTANE	dG (kJ/Mol)					44.5146909496231	142.568603522927	323.149397913615
0.04	HEXANE	dG (kJ/Mol)					19.066116855632	32.6154701697312	323.152058029175
0.04	DICHLOROMETHANE	dG (kJ/Mol)	1.86974308403268	3.00390250128354	2.16448288381357	3.41306038306232	2.90885916389843	4.03837910981888	323.152344608307
0.04	ETHYL ACETATE	dG (kJ/Mol)	4.6293459152394	5.75240424187089	3.5352458022206	4.32181668183852	15.3739656904447	26.0780415721532	323.148828887939
0.05	NONANE	dG (kJ/Mol)					241.759141672623	938.87638036537	323.149411900838
0.05	OCTANE	dG (kJ/Mol)					100.563887817156	448.753987164235	323.150617822011
0.05	HEPTANE	dG (kJ/Mol)					37.7864776784959	122.731182004584	323.149397913615
0.05	HEXANE	dG (kJ/Mol)					17.1757042495842	29.5284366587826	323.152058029175
0.05	DICHLOROMETHANE	dG (kJ/Mol)	2.06164323234473	2.70132201662668	2.3416690388175	3.0791364297633	2.94055599496452	3.58262193235917	323.152344608307
0.05	ETHYL ACETATE	dG (kJ/Mol)	4.69214023267545	5.68645267498911	3.62321715696623	4.29544891355636	14.5561415882856	24.5107642679286	323.148828887939
0.06	NONANE	dG (kJ/Mol)					226.882959719914	823.181836345306	323.149411900838
0.06	OCTANE	dG (kJ/Mol)					88.9596144494549	384.5280035139	323.150617822011
0.06	HEPTANE	dG (kJ/Mol)					34.2625807454215	109.388969020931	323.149397913615
0.06	HEXANE	dG (kJ/Mol)					15.3271835010174	27.1106632210763	323.152058029175
0.06	DICHLOROMETHANE	dG (kJ/Mol)	2.45190573533112	3.21601750299748	2.73145242476804	3.58557088267309	2.91039194128694	4.14276799989236	323.152344608307
0.06	ETHYL ACETATE	dG (kJ/Mol)	4.99490100903184	5.69972832432926	3.90706029892501	4.32776455607388	14.072390173853	23.2328389448799	323.148828887939
0.07	NONANE	dG (kJ/Mol)					223.985572365504	452.414134442922	323.149411900838
0.07	OCTANE	dG (kJ/Mol)					83.5018782029309	347.604200971093	323.150617822011
0.07	HEPTANE	dG (kJ/Mol)					32.0901662210651	98.998874507108	323.149397913615
0.07	HEXANE	dG (kJ/Mol)					14.0754699758671	25.4984858998507	323.152058029175
0.07	DICHLOROMETHANE	dG (kJ/Mol)	2.88818707761437	1.72727388477084	3.1720407044487	2.06943563692341	2.94076720708718	3.8759703387847	323.152344608307
0.07	ETHYL ACETATE	dG (kJ/Mol)	5.26209769212871	4.54303934683223	4.145782893043	3.38419700809812	13.5595344609995	21.9514939743672	323.148828887939
0.08	NONANE	dG (kJ/Mol)					229.471031009118	405.656602940024	323.149411900838
0.08	OCTANE	dG (kJ/Mol)					80.6860126897492	316.192705291597	323.150617822011
0.08	HEPTANE	dG (kJ/Mol)					31.0477268531052	91.6927865515136	323.149397913615
0.08	HEXANE	dG (kJ/Mol)					13.0953751275096	24.0609392818997	323.152058029175
0.08	DICHLOROMETHANE	dG (kJ/Mol)	3.72486663063348	1.70948224745208	4.01419974026991	2.04627065907706	3.44205198267332	3.80830719516563	323.152344608307
0.08	ETHYL ACETATE	dG (kJ/Mol)	5.63318666129801	4.4922782229289	4.479335283236	3.35397985874014	13.6189871443901	21.052786872645	323.148828887939
0.09	NONANE	dG (kJ/Mol)					241.164962146411	384.449175144096	323.149411900838
0.09	OCTANE	dG (kJ/Mol)					79.7276274421467	287.601658896662	323.150617822011
0.09	HEPTANE	dG (kJ/Mol)					30.5112206071139	86.7191013909558	323.149397913615
0.09	HEXANE	dG (kJ/Mol)					11.6923213046007	22.6971351016602	323.152058029175
0.09	DICHLOROMETHANE	dG (kJ/Mol)	4.89372250882801	2.09382648398471	5.19405950367585	2.42565493137362	4.19280280103897	4.15249071150377	323.152344608307
0.09	ETHYL ACETATE	dG (kJ/Mol)	5.91399541113366	4.52452528264796	4.69698271527805	3.38570280679026	12.3415004995171	20.1063151792437	323.148828887939
0.1	NONANE	dG (kJ/Mol)					254.031561435705	368.067699774956	323.149411900838
0.1	OCTANE	dG (kJ/Mol)					79.5902582098896	265.337873562697	323.150617822011
0.1	HEPTANE	dG (kJ/Mol)					29.1752675483819	81.1254181378919	323.149397913615
0.1	HEXANE	dG (kJ/Mol)					11.6478511224907	21.5952767822279	323.152058029175
0.1	DICHLOROMETHANE	dG (kJ/Mol)	5.47399369907144	2.61207608681033	5.78188390680091	2.94193737681008	4.75727910808867	4.72837302014132	323.152344608307
0.1	ETHYL ACETATE	dG (kJ/Mol)	5.97562097689783	4.57627508585051	4.73417685295111	3.43509520766538	11.7144548594586	19.2545496178873	323.148828887939


