id,injection-name,solvent-name,injection-time,duration,target-surface-coverage,actual-surface-coverage,col-temp,pressure-drop,exit-flow-rate,peak-area,peak-max-signal,peak-max-time,peak-com,peak-com-over-max,ret-vol-max,ret-vol-com,net-ret-time-max,net-ret-vol-max,net-ret-time-com,net-ret-vol-com,partial-pressure,pres-res-vol-max,pres-res-vol-com,amount-mmol-g,amount-mmol,amount-mmol-g-max,amount-mmol-g-com,saturationPressure,bet-value,bet-ordinate
4,injection1,OCTANE,4723,20,0.05,0.044705842,303.1488203,104.1514511,10,3572.234546,4143.202682,1.16295,1.549509602,1.33239572,120.6251552,160.7204405,0.6893625,71.50303846,1.061436854,110.0958643,0.234068532,0.003782114,0.005823461,0.001184709,1.18471E-4,8.85274E-4,0.001363089,18.479437410073086,9.411658707935457,0.012666431710329554
5,injection2,OCTANE,8247,20,0.1,0.082237285,303.1492647,105.9540977,9.987499714,6689.786718,9949.324969,1.008017,1.363929905,1.353082245,104.3040005,141.1318912,0.5344295,55.29979637,0.875857157,90.62883403,0.552809978,0.002925048,0.004793756,0.002179296,2.1793E-4,0.001817608,0.002891058,18.479884053634493,10.66619835328234,0.02991414753445259
6,injection3,OCTANE,11278,20,0.15,0.116335353,303.1484303,106.4404984,10.00750017,9611.672268,16745.19495,0.959767,1.273414875,1.326795853,99.47899207,131.9883141,0.4861795,50.39207081,0.785342127,81.40000987,0.91423934,0.002665465,0.004305615,0.003082898,3.0829E-4,0.002780985,0.004447233,18.479045448679987,11.703793791747273,0.049474381268178914
7,injection4,OCTANE,14507,15,0.2,0.151435358,303.1454748,106.6121521,9.994999886,12701.37965,24644.0089,0.93635,1.217539442,1.300303777,96.91902372,126.0241726,0.4627625,47.89927881,0.729466694,75.50509939,1.327050647,0.002533634,0.003993845,0.004013051,4.01305E-4,0.003826898,0.006095938,18.4760753135941,12.694264168563741,0.0718253538414405
8,injection5,OCTANE,18454,15,0.25,0.193169254,303.1477007,106.8839493,9.994999886,16468.81623,34866.89348,0.928017,1.175567761,1.266752399,96.04050013,121.659534,0.4544295,47.02891914,0.687495014,71.14887436,1.847092415,0.002487578,0.003763395,0.005119003,5.119E-4,0.005120543,0.00805306,18.478312198264984,13.791248603565785,0.0999600177322165
9,injection6,OCTANE,23380,15,0.3,0.223234966,303.1488747,106.8411026,9.990000248,19233.70647,42849.14661,0.923033,1.147828848,1.243540423,95.47991018,118.7331279,0.4494455,46.49131285,0.6597561,68.24615494,2.247286576,0.002459132,0.003609843,0.005915747,5.91575E-4,0.006104673,0.009497698,18.47949208422162,14.576812548868954,0.12160975884823183
10,injection7,OCTANE,29265,10,0.35,0.263915732,303.1489653,106.8839989,9.984999657,23021.13166,53394.32643,0.918017,1.126415552,1.227009469,94.91093751,116.4566191,0.4444295,45.94819105,0.638342804,65.99628763,2.76737627,0.002430403,0.003490836,0.006993791,6.99379E-4,0.007368701,0.011313246,18.47958314110375,15.568393258107886,0.14975317618743159
11,injection8,OCTANE,35854,10,0.4,0.30257654,303.1497101,107.2845497,10,26644.58719,63775.91284,0.919683,1.106130909,1.202730624,95.20185749,114.5021895,0.4460955,46.17799853,0.618058161,63.97887635,3.269380613,0.002442553,0.003384118,0.008018306,8.01831E-4,0.008594873,0.013012088,18.480331711413914,16.518177215290603,0.17691135982049225
12,injection9,OCTANE,42743,10,0.45,0.340929455,303.1505856,107.1987,9.997499943,30234.55833,73967.68614,0.923017,1.083752453,1.174141379,95.52861451,112.1640992,0.4494295,46.51417846,0.595679705,61.65049718,3.7661192,0.002460328,0.003260951,0.009034662,9.03466E-4,0.009817013,0.014631928,18.481211676172457,17.491598917962175,0.20378096771953538
13,injection10,OCTANE,49481,5,0.5,0.384430747,303.149835,107.2130013,10.00749969,34267.00166,83498.29132,0.931367,1.077258414,1.156642241,96.4880994,111.6022115,0.4577795,47.42520822,0.589185666,61.03867228,4.225484917,0.002508522,0.003228597,0.01018745,0.001018745,0.010969342,0.016115034,18.48045724619321,18.394117274000504,0.22864612388691885
14,injection11,OCTANE,55664,5,0.55,0.423864708,303.1503901,107.3274994,9.997499943,37857.78221,91524.61291,0.943017,1.069340192,1.133956432,97.59043127,110.6632972,0.4694295,48.58006521,0.581267444,60.15388967,4.627017299,0.002569603,0.003181791,0.011232454,0.001123245,0.012001121,0.017392626,18.481015176111608,19.20263593609281,0.25036597042465725
15,injection12,OCTANE,58983,5,0.58,0.445256782,303.1479849,107.2273521,9.994999886,39771.6676,95500.90053,0.946333,1.065598569,1.126029177,97.91460156,110.2546982,0.4727455,48.91374101,0.577525821,59.75508695,4.828852711,0.002587273,0.003160722,0.011799346,0.001179935,0.012523324,0.018030572,18.47859781727712,19.620492876297412,0.2613213815652787
