"reservoirId","solvent_name","is_dispersive","cross_sectional_area","dispersive_surface_tension","molecular_mass","liquid_density","refraction_index","boiling_pt","alkaneCarbonNumber","C1","C2","C3","C4","C5","AcceptorNumber","DonorNumber","DellaVolpeElectronDonorParameter","DellaVolpeElectronAcceptorParameter","vOCGelectronDonorParameter","vOCGelectronAcceptorParameter","criticalTemperature","criticalVolume","criticalPressure","deltaHildebrand","deltaDispersion","deltaPolar","deltaHydrogenBond","deltaHansen","minimumInjectionTime","maximumInjectionTime","A","n","reference"
1,"HEXANE","True",5.15e-19,0.0184,86.18000000000001,0.66,1.375,68,6,104.65,-6995.5,-12.702,1.24e-05,2,-1,-1,-1,-1,-1,-1,507.6,0.373,3.04,14.9,14.9,0,0,14.9,50,10000,45.61,0.401,""
2,"HEPTANE","True",5.73e-19,0.0203,100.21,0.6840000000000001,1.3877,98,7,87.82899999999999,-6996.4,-9.8802,7.21e-06,2,-1,-1,-1,-1,-1,-1,540.2,0.428,2.72,15.1,15.3,0,0,15.3,50,60000,49.73,0.386,""
3,"OCTANE","True",6.3e-19,0.0213,114.23,0.703,1.3974,126,8,96.084,-7900.2,-11.003,7.18e-06,2,-1,-1,-1,-1,-1,-1,568.7,0.486,2.47,15.6,15.5,0,0,15.5,50,60000,59.077,0.439,""
4,"NONANE","True",6.9e-19,0.0227,128.26,0.718,1.4054,150,9,109.35,-9030.4,-12.882,7.849999999999999e-06,2,-1,-1,-1,-1,-1,-1,594.6,0.54,2.31,15.5,15.8,0,0,15.8,50,60000,59.378,0.377,""
5,"DECANE","True",7.5e-19,0.0234,142.15,0.73,1.4119,174,10,112.73,-9749.6,-13.245,7.13e-06,2,-1,-1,-1,-1,-1,-1,617.7,0.601,2.09,15.5,15.8,0,0,15.8,50,60000,71.428,0.451,""
6,"UNDECANE","True",8.1e-19,0.0246,156.31,0.74,1.4172,195,11,131,-11143,-15.855,8.19e-06,2,-1,-1,-1,-1,-1,-1,639,0.658,1.95,15.9,15.9,0,0,15.9,50,60000,73.511,0.413,""
7,"ETHANOL","False",3.53e-19,0.0211,46.04,0.789,1.36,77.84999999999999,2,74.47499999999999,-7164.3,-7.327,3.13e-06,2,10.3,19,-1,-1,-1,-1,513.92,0.168,6.12,26,15.8,8.800000000000001,19.4,26.52,50,60000,43.122,0.079,""
8,"DICHLOROMETHANE","False",2.45e-19,0.0245,84.93000000000001,1.325,1.424,39.85,0,79.867,-5794.7,-8.801500000000001,7.6432e-06,2,3.9,0,-1,124.58,-1,5.2,510.15,0.184837450286157,6.1,19.8,18.2,6.3,6.1,20.3,50,10000,41.91,0.41,""
9,"ETHYL ACETATE","False",3.3e-19,0.0196,88.11,0.902,1.372,76.84999999999999,4,66.824,-6227.6,-6.41,1.79e-17,6,1.5,17.1,475.67,-1,19.2,-1,523.3,0.287,3.85,18.6,15.8,5.3,7.2,18.15,50,60000,49.346,0.385,""
10,"ACETONE","False",3.4e-19,0.0165,58.08,0.791,1.359,55.85,3,69.006,-5599.6,-7.0985,6.22e-06,2,2.5,17,-1,-1,-1,-1,508.2,0.21,4.71,20.3,15.5,10.4,7,19.94,50,60000,49.244,0.481,""
11,"ACETONITRILE","False",2.14e-19,0.0275,41.05,0.782,1.344,81.55,2,58.302,-5385.6,-5.4954,5.36e-06,2,4.7,14.1,-1,-1,-1,-1,545.5,0.173,4.85,24.3,15.3,18,6.1,24.4,50,60000,43.082,0.335,""
12,"1-PROPANOL","False",4.02e-19,0.0217,60.1,0.804,1.384,96.84999999999999,0,88.134,-8498.6,-9.076599999999999,8.33e-18,6,9.9,18,-1,-1,-1,-1,536.78,0.22,5.12,24.3,16,6.8,17.4,24.6,50,60000,70.179,0.451,""
